Timestamp,Distance,Signal_Strength
2024-10-17 22:40:02,99,2894
2024-10-17 22:40:02,99,2986
2024-10-17 22:40:03,99,2987
2024-10-17 22:50:02,99,2896
2024-10-17 22:50:02,99,2988
2024-10-17 22:50:03,99,2991
2024-10-17 23:00:02,98,2894
2024-10-17 23:00:02,98,2986
2024-10-17 23:00:03,98,2989
2024-10-17 23:10:02,102,2903
2024-10-17 23:10:02,102,2984
2024-10-17 23:10:03,102,2988
2024-10-17 23:20:02,98,2894
2024-10-17 23:20:03,98,2986
2024-10-17 23:20:03,98,2988
2024-10-17 23:30:02,96,2891
2024-10-17 23:30:03,96,2991
2024-10-17 23:30:03,96,2987
2024-10-17 23:40:02,96,2892
2024-10-17 23:40:03,96,2971
2024-10-17 23:40:03,96,2985
2024-10-17 23:50:02,99,2894
2024-10-17 23:50:03,99,2985
2024-10-17 23:50:03,99,2988
2024-10-18 00:00:03,101,2895
2024-10-18 00:00:03,101,2986
2024-10-18 00:00:04,101,2989
2024-10-18 00:10:02,96,2893
2024-10-18 00:10:02,96,2986
2024-10-18 00:10:03,96,3001
2024-10-18 00:20:02,98,2903
2024-10-18 00:20:02,98,2987
2024-10-18 00:20:03,98,2988
2024-10-18 00:30:02,97,2895
2024-10-18 00:30:02,97,2988
2024-10-18 00:30:03,97,2989
2024-10-18 00:40:02,101,2895
2024-10-18 00:40:03,101,2985
2024-10-18 00:40:03,101,2989
2024-10-18 00:50:02,98,2893
2024-10-18 00:50:03,98,2985
2024-10-18 00:50:03,98,2989
2024-10-18 01:00:02,101,2894
2024-10-18 01:00:03,101,2987
2024-10-18 01:00:03,101,2989
2024-10-18 01:10:02,99,2906
2024-10-18 01:10:03,99,2985
2024-10-18 01:10:03,99,2988
2024-10-18 01:20:03,99,2893
2024-10-18 01:20:03,99,2986
2024-10-18 01:20:04,99,2989
2024-10-18 01:30:02,101,2892
2024-10-18 01:30:02,101,2985
2024-10-18 01:30:03,101,2988
2024-10-18 01:40:02,102,2888
2024-10-18 01:40:02,102,2986
2024-10-18 01:40:03,102,2975
2024-10-18 01:50:02,97,2894
2024-10-18 01:50:02,97,2985
2024-10-18 01:50:03,97,2988
2024-10-18 02:00:02,98,2893
2024-10-18 02:00:02,98,2985
2024-10-18 02:00:03,98,2987
2024-10-18 02:10:02,102,2893
2024-10-18 02:10:03,102,2986
2024-10-18 02:10:03,102,2989
2024-10-18 02:20:02,103,2892
2024-10-18 02:20:03,103,2985
2024-10-18 02:20:03,103,2989
2024-10-18 02:30:02,98,2894
2024-10-18 02:30:03,98,2986
2024-10-18 02:30:03,98,2989
2024-10-18 02:40:02,100,2893
2024-10-18 02:40:03,100,2985
2024-10-18 02:40:03,100,2973
2024-10-18 02:50:03,100,2895
2024-10-18 02:50:03,100,2987
2024-10-18 02:50:04,100,2990
2024-10-18 03:00:02,99,2895
2024-10-18 03:00:02,99,2989
2024-10-18 03:00:03,99,3000
2024-10-18 03:10:02,101,2893
2024-10-18 03:10:02,101,2986
2024-10-18 03:10:03,101,2991
2024-10-18 03:20:02,101,2896
2024-10-18 03:20:02,101,2987
2024-10-18 03:20:03,101,2990
2024-10-18 03:30:02,102,2903
2024-10-18 03:30:03,102,2990
2024-10-18 03:30:03,102,3000
2024-10-18 03:40:02,99,2895
2024-10-18 03:40:03,99,2989
2024-10-18 03:40:03,99,3000
2024-10-18 03:50:02,101,2905
2024-10-18 03:50:03,101,2992
2024-10-18 03:50:03,101,3001
2024-10-18 04:00:02,100,2906
2024-10-18 04:00:03,100,2991
2024-10-18 04:00:03,100,3004
2024-10-18 04:10:02,99,2907
2024-10-18 04:10:03,99,3021
2024-10-18 04:10:03,99,3005
2024-10-18 04:20:03,106,2909
2024-10-18 04:20:03,106,3002
2024-10-18 04:20:04,106,3006
2024-10-18 04:30:02,99,2909
2024-10-18 04:30:02,99,3003
2024-10-18 04:30:03,99,3015
2024-10-18 04:40:02,99,2918
2024-10-18 04:40:02,99,3004
2024-10-18 04:40:03,99,3017
2024-10-18 04:50:02,99,2921
2024-10-18 04:50:02,99,3016
2024-10-18 04:50:03,99,3002
2024-10-18 05:00:02,98,2925
2024-10-18 05:00:03,98,3018
2024-10-18 05:00:03,98,3032
2024-10-18 05:10:02,98,2935
2024-10-18 05:10:03,98,3022
2024-10-18 05:10:03,98,3033
2024-10-18 05:20:02,98,2936
2024-10-18 05:20:03,98,3033
2024-10-18 05:20:03,98,3038
2024-10-18 05:30:02,98,2942
2024-10-18 05:30:03,98,3035
2024-10-18 05:30:03,98,3048
2024-10-18 05:40:03,96,2951
2024-10-18 05:40:03,96,3038
2024-10-18 05:40:03,96,3051
2024-10-18 05:50:02,100,2954
2024-10-18 05:50:02,100,3048
2024-10-18 05:50:03,100,3052
2024-10-18 06:00:02,99,2956
2024-10-18 06:00:02,99,3051
2024-10-18 06:00:03,99,3039
2024-10-18 06:10:02,99,2969
2024-10-18 06:10:02,99,3053
2024-10-18 06:10:03,99,3066
2024-10-18 06:20:02,102,2958
2024-10-18 06:20:02,102,3053
2024-10-18 06:20:03,102,3067
2024-10-18 06:30:02,100,2966
2024-10-18 06:30:03,100,3063
2024-10-18 06:30:03,100,3068
2024-10-18 06:40:02,99,2959
2024-10-18 06:40:03,99,3063
2024-10-18 06:40:03,99,3069
2024-10-18 06:50:02,99,2969
2024-10-18 06:50:03,99,3066
2024-10-18 06:50:03,99,3072
2024-10-18 07:00:02,101,3021
2024-10-18 07:00:03,101,3117
2024-10-18 07:00:03,101,3128
2024-10-18 07:10:03,96,1515
2024-10-18 07:10:03,96,1544
2024-10-18 07:10:04,96,1535
2024-10-18 07:20:02,99,1775
2024-10-18 07:20:02,99,1817
2024-10-18 07:20:03,99,1818
2024-10-18 07:30:02,100,1839
2024-10-18 07:30:02,100,1853
2024-10-18 07:30:03,100,1855
2024-10-18 07:40:02,102,1835
2024-10-18 07:40:02,102,1881
2024-10-18 07:40:03,102,1881
2024-10-18 07:50:02,98,1902
2024-10-18 07:50:03,98,1947
2024-10-18 07:50:03,98,1949
2024-10-18 08:00:02,99,1978
2024-10-18 08:00:03,99,2014
2024-10-18 08:00:03,99,2010
2024-10-18 08:10:02,104,1994
2024-10-18 08:10:03,104,2048
2024-10-18 08:10:03,104,2043
2024-10-18 08:20:02,104,2024
2024-10-18 08:20:03,104,2064
2024-10-18 08:20:03,104,2062
2024-10-18 08:30:02,99,2041
2024-10-18 08:30:03,99,2088
2024-10-18 08:30:03,99,2088
2024-10-18 08:40:03,100,2046
2024-10-18 08:40:03,100,2104
2024-10-18 08:40:04,100,2094
2024-10-18 08:50:02,100,2057
2024-10-18 08:50:02,100,2104
2024-10-18 08:50:03,100,2103
2024-10-18 09:00:02,100,2045
2024-10-18 09:00:02,100,2094
2024-10-18 09:00:03,100,2093
2024-10-18 09:10:02,94,2056
2024-10-18 09:10:02,94,2091
2024-10-18 09:10:03,94,2104
2024-10-18 09:20:02,101,2041
2024-10-18 09:20:03,101,2089
2024-10-18 09:20:03,101,2089
2024-10-18 09:30:02,103,2031
2024-10-18 09:30:03,103,2075
2024-10-18 09:30:03,103,2076
2024-10-18 09:40:02,100,2028
2024-10-18 09:40:03,100,2073
2024-10-18 09:40:03,100,2073
2024-10-18 09:50:02,102,2022
2024-10-18 09:50:03,102,2062
2024-10-18 09:50:03,102,2063
2024-10-18 10:00:02,100,2025
2024-10-18 10:00:03,100,2064
2024-10-18 10:00:03,100,2056
2024-10-18 10:10:03,101,2008
2024-10-18 10:10:03,101,2046
2024-10-18 10:10:04,101,2055
2024-10-18 10:20:02,98,2006
2024-10-18 10:20:02,98,2041
2024-10-18 10:20:03,98,2042
2024-10-18 10:30:02,98,2013
2024-10-18 10:30:02,98,2040
2024-10-18 10:30:03,98,2031
2024-10-18 10:40:02,101,1982
2024-10-18 10:40:02,101,2027
2024-10-18 10:40:03,101,2027
2024-10-18 10:50:02,101,1977
2024-10-18 10:50:03,101,2024
2024-10-18 10:50:03,101,2025
2024-10-18 11:00:02,100,1965
2024-10-18 11:00:03,100,2011
2024-10-18 11:00:03,100,2012
2024-10-18 11:10:02,102,1952
2024-10-18 11:10:03,102,1998
2024-10-18 11:10:03,102,2008
2024-10-18 11:20:02,100,1948
2024-10-18 11:20:03,100,1995
2024-10-18 11:20:03,100,2008
2024-10-18 11:30:03,103,1946
2024-10-18 11:30:03,103,1992
2024-10-18 11:30:04,103,1992
2024-10-18 11:40:02,103,1935
2024-10-18 11:40:02,103,1992
2024-10-18 11:40:03,103,1983
2024-10-18 11:50:02,102,1930
2024-10-18 11:50:02,102,1976
2024-10-18 11:50:03,102,1989
2024-10-18 12:00:02,101,1919
2024-10-18 12:00:02,101,1974
2024-10-18 12:00:03,101,1967
2024-10-18 12:10:02,100,1914
2024-10-18 12:10:02,100,1962
2024-10-18 12:10:03,100,1962
2024-10-18 12:20:02,96,1911
2024-10-18 12:20:03,96,1950
2024-10-18 12:20:03,96,1960
2024-10-18 12:30:02,99,1899
2024-10-18 12:30:03,99,1945
2024-10-18 12:30:03,99,1947
2024-10-18 12:40:02,99,1886
2024-10-18 12:40:03,99,1934
2024-10-18 12:40:03,99,1935
2024-10-18 12:50:02,99,1882
2024-10-18 12:50:03,99,1928
2024-10-18 12:50:03,99,1929
2024-10-18 13:00:03,101,1868
2024-10-18 13:00:03,101,1916
2024-10-18 13:00:04,101,1930
2024-10-18 13:10:02,103,1866
2024-10-18 13:10:02,103,1911
2024-10-18 13:10:03,103,1914
2024-10-18 13:20:02,100,1856
2024-10-18 13:20:02,100,1900
2024-10-18 13:20:03,100,1902
2024-10-18 13:30:02,102,1852
2024-10-18 13:30:02,102,1898
2024-10-18 13:30:03,102,1899
2024-10-18 13:40:02,100,1846
2024-10-18 13:40:03,100,1886
2024-10-18 13:40:03,100,1886
2024-10-18 13:50:02,99,1834
2024-10-18 13:50:03,99,1880
2024-10-18 13:50:03,99,1883
2024-10-18 14:00:02,98,1823
2024-10-18 14:00:03,98,1869
2024-10-18 14:00:03,98,1871
2024-10-18 14:10:02,101,1817
2024-10-18 14:10:03,101,1863
2024-10-18 14:10:03,101,1867
2024-10-18 14:20:03,100,1807
2024-10-18 14:20:03,100,1854
2024-10-18 14:20:03,100,1863
2024-10-18 14:30:03,100,1802
2024-10-18 14:30:03,100,1851
2024-10-18 14:30:04,100,1851
2024-10-18 14:40:02,100,1775
2024-10-18 14:40:02,100,1851
2024-10-18 14:40:03,100,1839
2024-10-18 14:50:02,98,1788
2024-10-18 14:50:02,98,1834
2024-10-18 14:50:03,98,1835
2024-10-18 15:00:02,99,1784
2024-10-18 15:00:02,99,1806
2024-10-18 15:00:03,99,1821
2024-10-18 15:10:02,100,1771
2024-10-18 15:10:03,100,1807
2024-10-18 15:10:03,100,1818
2024-10-18 15:20:02,104,1759
2024-10-18 15:20:03,104,1806
2024-10-18 15:20:03,104,1807
2024-10-18 15:30:02,101,1755
2024-10-18 15:30:03,101,1801
2024-10-18 15:30:03,101,1800
2024-10-18 15:40:02,101,1741
2024-10-18 15:40:03,101,1785
2024-10-18 15:40:03,101,1788
2024-10-18 15:50:03,101,1727
2024-10-18 15:50:03,101,1772
2024-10-18 15:50:03,101,1774
2024-10-18 16:00:02,97,1724
2024-10-18 16:00:02,97,1743
2024-10-18 16:00:03,97,1756
2024-10-18 16:10:02,97,1689
2024-10-18 16:10:02,97,1755
2024-10-18 16:10:03,97,1753
2024-10-18 16:20:02,100,1704
